video_id,title,url,duration_sec,age_from,age_to,factors,intensity,space,noise,equipment,labeled_by,label_model
TXE6Y_FpayU,[초등학생] '키 쑥쑥' 아이 성장 발달을 위한 스트레칭 운동,https://www.youtube.com/watch?v=TXE6Y_FpayU,1108,13,18,,,,,,batch,labeler:rules/v3
TmVZ2gdZnQQ,[👦🏻유소년] 성장기 학생들을 위한 운동체력향상 운동프로그램 (30min),https://www.youtube.com/watch?v=TmVZ2gdZnQQ,1675,7,12,,,,,,batch,labeler:rules/v3
V9cymtUC61I,[청소년] 🎯이제는 정신력 싸움🎯 운동으로 멘탈 관리하고 대학가자!!,https://www.youtube.com/watch?v=V9cymtUC61I,983,13,18,,,,,,batch,labeler:rules/v3
XSn6DE3cxy4,[👩🏻‍🎓청소년] 중고등학생 체중조절 다이어트 운동프로그램 (30min),https://www.youtube.com/watch?v=XSn6DE3cxy4,1998,13,18,,,,,,batch,labeler:rules/v3
_hdna4_9GYc,🦖유아기 복합 운동기술 향상 | 체력왕이 되어요 (심화편),https://www.youtube.com/watch?v=_hdna4_9GYc,1539,0,6,,,,,,batch,labeler:rules/v3
gOrg8Lva-8A,[유아기] 우리 아이 친밀감 UP! 건강 UP! 애착형성 필수 운동,https://www.youtube.com/watch?v=gOrg8Lva-8A,885,0,6,,,,,,batch,labeler:rules/v3
oCAjIRASiVI,🦖유아기 운동체력 향상 | 민첩성 순발력 평형성 협응력 키우기 응용운동 (15min),https://www.youtube.com/watch?v=oCAjIRASiVI,1023,0,6,"심폐지구력,근지구력,민첩성,순발력,협응력,평형성",,,,,batch,labeler:rules/v3
oX1HKGUBO5w,🦖유아기 체력 향상 (복합운동) | EP01.동물처럼 걸어요 (20min),https://www.youtube.com/watch?v=oX1HKGUBO5w,1650,0,6,,,,,,batch,labeler:rules/v3
p12bb2zMebw,[👦🏻유소년] 성장기 학생들을 위한 체력향상 운동프로그램 (30min),https://www.youtube.com/watch?v=p12bb2zMebw,2197,7,12,,,,,,batch,labeler:rules/v3
qL76XIxD4Ds,🦖유아기 기본 운동기술 향상 | 균형있는 근육 발달을 위한 이동성 운동 (기초편),https://www.youtube.com/watch?v=qL76XIxD4Ds,658,0,6,,,,,,batch,labeler:rules/v3
qk0hXbltmIQ,🦖유아기 복합 운동기술 향상 | 꽃게처럼 걸어요 (심화편),https://www.youtube.com/watch?v=qk0hXbltmIQ,1575,0,6,,,,,,batch,labeler:rules/v3
shroLEVYDRM,🐢헤이지니와 함께 유아기 체력 쑥쑥 운동 | EP04.우리 모두 다같이!,https://www.youtube.com/watch?v=shroLEVYDRM,82,0,6,,,,,,batch,labeler:rules/v3
xrCKWvZxF5g,🦖헤이지니와 함께 유아기 체력 쑥쑥 운동 | EP01.인사체조,https://www.youtube.com/watch?v=xrCKWvZxF5g,71,0,6,,,,,,batch,labeler:rules/v3
ybVg6kewp90,🦖헤이지니와 함께 유아기 체력 쑥쑥 운동 | EP02.흔들어 체조,https://www.youtube.com/watch?v=ybVg6kewp90,84,0,6,,,,,,batch,labeler:rules/v3
